준비운동,본운동,마무리운동
아쿠아로빅-물당기기/밀기,앉아서 다리 굽히기,한발 들기
아쿠아로빅-발 닿기,앉아서 다리 모으기,한발 앞으로 내밀고 앉았다 일어서기
아쿠아로빅-엉덩관절 회전하기,앉아서 다리 밀기,한발 연속 뛰기
아쿠아로빅-옆구리 늘리기,앉아서 다리 벌리기,한쪽 다리펴고 상체 숙이기
앉아 윗몸 앞으로 굽히기,앉아서 다리 올리기,합장하여 앞으로 숙이기
앉아서 가슴 모으기,앉아서 다리 펴기,허리 스트레칭
앉아서 다리 굽히기,앉아서 다리 펴서 들어올리기,허리숙여 양팔 돌리기
앉아서 다리 모으기,앉아서 당겨 내리기,활 자세
앉아서 다리 밀기,앉아서 덤벨로 손목 굽히기,회전 초승달 자세
앉아서 다리 벌리기,앉아서 뒤로 당기기,회전근개 스트레칭
앉아서 다리 올리기,앉아서 모으기,회전근개 스트레칭2
앉아서 다리 펴기,앉아서 몸통 움츠리기,훌라후프하며 앞으로 가기
앉아서 다리 펴서 들어올리기,앉아서 무릎 굽히기,휴식자세
앉아서 당겨 내리기,앉아서 밀기,
앉아서 덤벨로 손목 굽히기,앉아서 밴드 당기기,
앉아서 뒤로 당기기,앉아서 밴드 잡고 몸통 돌리기,
앉아서 모으기,앉아서 상체 앞 옆으로 기울기,
앉아서 몸통 움츠리기,앉아서 양팔 당기기,
앉아서 무릎 굽히기,앉아서 어깨 위로 밀기,
앉아서 밀기,앉아서 엉덩관절 굽히기,
앉아서 밴드 당기기,앉아서 엉덩이 들고 이동하기,
앉아서 밴드 잡고 몸통 돌리기,앉아서 옆구리 늘려주기,
앉아서 상체 앞 옆으로 기울기,앉아서 위로 밀기,
앉아서 양팔 당기기,앉아서 팔꿈치 굽히기,
앉아서 어깨 위로 밀기,앉아서 팔꿈치 굽히기/펴기,
앉아서 엉덩관절 굽히기,앉아서 한 발 앞으로 굽히기,
앉아서 엉덩이 들고 이동하기,앉았다 일어나며 점프하기,
앉아서 옆구리 늘려주기,앉았다 일어서기,
앉아서 위로 밀기,앉았다 일어서며 팔 들어올리기,
앉아서 팔꿈치 굽히기,앉았다 일어서면서 점프하기,
앉아서 팔꿈치 굽히기/펴기,앉은 산 자세,
앉아서 한 발 앞으로 굽히기,앞굽이 뛰기,
앉았다 일어나며 점프하기,앞굽이 앉았다 일어서기,
앉았다 일어서기,앞뒤 지그재그 뛰기,
앉았다 일어서며 팔 들어올리기,앞뒤로 선넘기,
앉았다 일어서면서 점프하기,앞뒤로 한발씩 걷기,
앉은 산 자세,앞발 들어올리기,
앞 뒤 굴곡(목 앞 뒤 굴곡),앞발 의자 올려 굽히기,
앞굽이 뛰기,앞으로 나가며 앉았다 일어서기,
앞굽이 앉았다 일어서기,앞차기하며 뛰기,
앞뒤 지그재그 뛰기,양 손 번갈아 공 튀기기,
앞뒤로 선넘기,양발 교차 뛰기,
앞뒤로 한발씩 걷기,양발 교차 올리기,
앞발 들어올리기,양발 교차하여 서서 몸통 숙이기,
앞발 의자 올려 굽히기,양발 나란히 서기,
앞으로 나가며 앉았다 일어서기,양발 모아 좌우 뛰기,
앞차기하며 뛰기,양발 모았다 벌려뛰기,
양 손 번갈아 공 튀기기,양발 벌려 무릎 밀어내기,
양발 교차 뛰기,양발 연속 뛰기,
양발 교차 올리기,양발 점프 착지하기,
양발 교차하여 서서 몸통 숙이기,양손 모아 균형 잡기,
양발 나란히 서기,양팔 벌려 높이 뛰기,
양발 모아 좌우 뛰기,양팔 벌려 전신 비틀기,
양발 모았다 벌려뛰기,양팔 크게 벌리기,
양발 벌려 무릎 밀어내기,어깨 누르기,
양발 연속 뛰기,어깨 뒤쪽 스트레칭,
양발 점프 착지하기,어깨 스트레칭,
양손 모아 균형 잡기,어깨 양 옆으로 돌리기,
양팔 벌려 높이 뛰기,어깨 올리기,
양팔 벌려 전신 비틀기,엇박자 뛰기,
양팔 크게 벌리기,엉덩관절 회전하기,
어깨 누르기,엉덩이 늘리기,
어깨 뒤쪽 스트레칭,엉덩이 스트레칭,
어깨 스트레칭,엉덩이 스트레칭2,
어깨 양 옆으로 돌리기,엎드려 교차 발 잡아당기기,
어깨 올리기,엎드려 다리 들어올리기,
엇박자 뛰기,엎드려 뒤로 다리 올리기,
엉덩관절 회전하기,엎드려 무릎 당기기,
엉덩이 늘리기,엎드려 무릎 연속 차기,
엉덩이 스트레칭,엎드려 버티기,
엉덩이 스트레칭2,엎드려 상체 들어올리기,
엎드려 교차 발 잡아당기기,엎드려 양팔 및 다리 들어올리기,
엎드려 다리 들어올리기,엎드려 어깨 늘리기,
엎드려 뒤로 다리 올리기,엎드려 팔 대고 버티기,
엎드려 무릎 당기기,엎드려 팔다리 교차올리기,
엎드려 무릎 연속 차기,엎드려 팔로 걷기,
엎드려 버티기,엎드려 한발 원 그리기,
엎드려 상체 들어올리기,엎드려서 균형잡기,
엎드려 양팔 및 다리 들어올리기,엎드려서 다리 굽히기,
엎드려 어깨 늘리기,엎드려서 다리 차올리기,
엎드려 팔 대고 버티기,엎드려서 팔 다리 들기,
엎드려 팔다리 교차올리기,연속 무릎 올리기,
엎드려 팔로 걷기,연속 사이드 스쿼드,
엎드려 한발 원 그리기,연속 상향 점프하기,
엎드려서 균형잡기,연속 하향 점프하기,
엎드려서 다리 굽히기,옆구리 스트레칭,
엎드려서 다리 차올리기,옆구리늘리기,
엎드려서 팔 다리 들기,옆으로 걷기,
연속 무릎 올리기,옆으로 굽히기,
연속 사이드 스쿼드,옆으로 누워 가슴 열기,
연속 상향 점프하기,옆으로 누워 다리 들어올리기,
연속 하향 점프하기,옆으로 누워 무릎 벌리기,
옆구리 스트레칭,옆으로 누워 버티기,
옆구리늘리기,옆으로 누워 폼롤러 굴려주기,
옆으로 걷기,옆으로 누워서팔 앞으로 당기기,
옆으로 굽히기,옆으로 다리 뻗기,
옆으로 누워 가슴 열기,옆으로 팔 대고 버티기,
옆으로 누워 다리 들어올리기,옆으로 팔 벌리며 점프하기,
옆으로 누워 무릎 벌리기,옆으로 펀치하기,
옆으로 누워 버티기,온 몸 뻗어주기,
옆으로 누워 폼롤러 굴려주기,왕복달리기,
옆으로 누워서팔 앞으로 당기기,왜가리 자세,
옆으로 다리 뻗기,요가 및 필라테스  루틴프로그램,
옆으로 팔 대고 버티기,요통을 위한 근력운동,
옆으로 팔 벌리며 점프하기,요통을 위한 스트레칭1,
옆으로 펀치하기,요통을 위한 스트레칭2,
온 몸 뻗어주기,우울증을 위한 심폐지구력 운동,
왕복달리기,웅크리고 앉아 손잡고 상체 숙이기,
왜가리 자세,원판던지기,
요가 및 필라테스  루틴프로그램,웨이트 트레이닝  루틴프로그램,
요통을 위한 근력운동,윗몸 말아 올리기,
요통을 위한 스트레칭1,윗몸 일으키기,
요통을 위한 스트레칭2,윗몸말아올리기,
우울증을 위한 근력운동,윗몸올리기,
우울증을 위한 심폐지구력 운동,유산소 운동 전 동적 루틴 스트레칭,
우울증을 위한 협응성 운동,유소년테스트,
웅크리고 앉아 손잡고 상체 숙이기,의자 앉아 공 밀기,
원판던지기,의자 앉아 다리로 짐볼 쥐기,
웨이트 트레이닝  루틴프로그램,의자 앞에서 앉았다 일어서기,
윗몸 말아 올리기,의자 이용 근력운동 루틴 프로그램,
윗몸 일으키기,의자 이용 중심 잡기 루틴 운동,
윗몸말아올리기,의자 이용 평형성운동 루틴 프로그램,
윗몸올리기,의자 이용하기,
유산소 운동 전 동적 루틴 스트레칭,의자 잡고 반복 옆 뛰기,
유소년테스트,의자 잡고 서기,
의자 앉아 공 밀기,의자 잡고 전방으로 무릎 굽혀 들기,
의자 앉아 다리로 짐볼 쥐기,의자 잡고 측면으로 한발 들기,
의자 앞에서 앉았다 일어서기,의자 잡고 팔 뒤로 굽히기,
의자 이용 근력운동 루틴 프로그램,의자 잡고 한발 들기,
의자 이용 중심 잡기 루틴 운동,의자 잡고 후방으로 한발 뻗어 들기,
의자 이용 평형성운동 루틴 프로그램,의자에 앉아 가슴 뒤로 젖히기,
의자 이용하기,의자에 앉아 가슴 몸통 말아주기,
의자 잡고 반복 옆 뛰기,의자에 앉아 다리 뻗어 올리기,
의자 잡고 서기,의자에 앉아 다리 펴서 들어올리기,
의자 잡고 전방으로 무릎 굽혀 들기,의자에 앉아 등 굽혔다 펴기,
의자 잡고 측면으로 한발 들기,의자에 앉아 몸통비틀기,
의자 잡고 팔 뒤로 굽히기,의자에 앉아 물병 들고 몸통 돌리기,
의자 잡고 한발 들기,의자에 앉아 볼 돌리기,
의자 잡고 후방으로 한발 뻗어 들기,의자에 앉아 옆구리 숙이기,
의자에 앉아 가슴 뒤로 젖히기,의자에 한 다리 올리고 앉앗다 일어서기,
의자에 앉아 가슴 몸통 말아주기,의자이용 유연성운동 루틴 프로그램,
의자에 앉아 다리 뻗어 올리기,의자잡고 서기 평형성운동 루틴 프로그램,
의자에 앉아 다리 펴서 들어올리기,의자잡고 후방으로 무릎 굽혀 들기,
의자에 앉아 등 굽혔다 펴기,자가근막이완술 루틴 스트레칭,
의자에 앉아 몸통비틀기,자기 체중 이용 평형성 운동 루틴 프로그램,
의자에 앉아 물병 들고 몸통 돌리기,자세낮춰 이동하기,
의자에 앉아 볼 돌리기,자전거타기,
의자에 앉아 옆구리 숙이기,작은 공을 이용한 동적 루틴 스트레칭,
의자에 한 다리 올리고 앉앗다 일어서기,잔발치기,
의자이용 유연성운동 루틴 프로그램,저항밴드 운동  루틴프로그램,
의자잡고 서기 평형성운동 루틴 프로그램,전갈자세,
의자잡고 후방으로 무릎 굽혀 들기,전사자세,
자가근막이완술 루틴 스트레칭,전신 루틴 스트레칭,
자기 체중 이용 평형성 운동 루틴 프로그램,전신 비틀며 전진하기,
자세낮춰 이동하기,전신 틀어 손벽 마주치기,
자전거타기,전완대고 버티기,
작은 공을 이용한 동적 루틴 스트레칭,전진 점프하며 발바닥 찍기,
잔발치기,전후 교차 뛰기,
저항밴드 운동  루틴프로그램,점프 팔굽혀펴기,
전갈자세,점프 후 버티기,
전사자세,점프하며 뛰기,
전신 루틴 스트레칭,점프하며 앞으로 나가기,
전신 비틀며 전진하기,점프해서 발바닥 치기,
전신 틀어 손벽 마주치기,점프해서 손 발끝 닿기,
전완대고 버티기,정적 스트레칭  루틴프로그램,
전진 점프하며 발 뒤꿈치 찍기,제자리 뛰기,
전진 점프하며 발바닥 찍기,제자리 멀리 뛰기,
전후 교차 뛰기,조깅,
점프 팔굽혀펴기,종아리 사이 감아 돌리기,
점프 후 버티기,종아리 스트레칭,
점프하며 뛰기,좌식생활자를 위한 동적 루틴 스트레칭,
점프하며 앞으로 나가기,좌우 양발모아 점프하기,
점프해서 발바닥 치기,좌우 이동하며 팔굽혀펴기,
점프해서 손 발끝 닿기,좌우 찍기,
정적 스트레칭  루틴프로그램,좌우로 선넘기,
제자리 뛰기,줄 따라 걷기,
제자리 멀리 뛰기,줄넘기,
조깅,줄넘기 운동,
종아리 사이 감아 돌리기,진자운동,
종아리 스트레칭,짐볼 들고 양옆으로 돌리기,
좌 우 굴곡(목 좌 우 굴곡),짐볼 배에 대고 버티기,
좌 우 회전(목 좌 우 회전),짐볼 앉기,
좌식생활자를 위한 동적 루틴 스트레칭,짐볼 앉기 평형성 운동 루틴 프로그램,
좌우 양발모아 점프하기,짐볼 앉아 뒤꿈치 들기,
좌우 이동하며 팔굽혀펴기,짐볼 앉아 몸통 돌리기,
좌우 찍기,짐볼 앉아 상체 숙이기,
좌우로 선넘기,짐볼 앉아 양 손 가슴 교차,
줄 따라 걷기,짐볼 앉아 양손 대각방향으로 들기,
줄넘기,짐볼 앉아 양손 측면으로 들기,
줄넘기 운동,짐볼 앉아 중심 잡기 루틴 운동,
진자운동,짐볼 앉아 한발 내딛기,
짐볼 들고 양옆으로 돌리기,짐볼 앉아 한발 들기,
짐볼 배에 대고 버티기,짐볼 앉아 한손 측면으로 들기,
짐볼 앉기 평형성 운동 루틴 프로그램,짐볼 앞으로 밀기,
짐볼 앉아 뒤꿈치 들기,짐볼 양옆으로 굴리기,
짐볼 앉아 중심 잡기 루틴 운동,짐볼 양팔로 밀기,
짐볼 앉아 한발 내딛기,짐볼 옆에 두고 어깨 누르기,
짐볼 앉아 한발 들기,짐볼 운동  루틴프로그램,
짐볼 앞으로 밀기,짐볼 윗몸올리기,
짐볼 양옆으로 굴리기,짐볼 윗몸일으키기,
짐볼 양팔로 밀기,짐볼 이용 근력운동 루틴 프로그램,
짐볼 옆에 두고 어깨 누르기,짐볼 이용 평형성 루틴 프로그램,
짐볼 운동  루틴프로그램,짐볼 이용해 앉았다 일어서기,
짐볼 윗몸올리기,짐볼 전완대고 버티기,
짐볼 윗몸일으키기,짐볼에 다리 올리고 엉덩이 들어올리기,
짐볼 이용 근력운동 루틴 프로그램,짐볼에 다리 올리고 좌우로 움직이기,
짐볼 이용 평형성 루틴 프로그램,짐볼에 엎드려서 몸통 젖히기,
짐볼 이용해 앉았다 일어서기,짐볼에 엎드려서 팔 다리 들기,
짐볼 전완대고 버티기,짐볼에서 몸통 돌리기,
짐볼에 다리 올리고 엉덩이 들어올리기,짐볼에서 엉덩이 돌리기,
짐볼에 다리 올리고 좌우로 움직이기,짐볼에서 윗몸 일으키기,
짐볼에 엎드려서 몸통 젖히기,짐볼을 이용한 동적 루틴 스트레칭,
짐볼에 엎드려서 팔 다리 들기,짝 스트레칭  루틴프로그램,
짐볼에서 몸통 돌리기,짝 운동,
짐볼에서 엉덩이 돌리기,척추 들어올리기,
짐볼에서 윗몸 일으키기,척추 스트레칭,
짐볼을 이용한 동적 루틴 스트레칭,측면 팔대고 버티기,
짝 스트레칭  루틴프로그램,치매를 위한 근력운동,
짝 운동,치매를 위한 스트레칭(의자),
척추 들어올리기,콘 뛰어넘기,
척추 스트레칭,콘운동  루틴프로그램,
측면 팔대고 버티기,크게 다리벌려 교차 뛰기,
치매를 위한 근력운동,크런치 사이클,
치매를 위한 스트레칭(의자),탄력밴드 걸고 서기,
콘 뛰어넘기,탄력밴드 걸고 서기 평형성 운동 루틴 프로그램,
콘운동  루틴프로그램,탄력밴드 무릎으로 당기기,
크게 다리벌려 교차 뛰기,탄력밴드 어깨 가쪽 돌림,
크런치 사이클,탄력밴드 이용 평형성운동 루틴 프로그램,
탄력밴드 걸고 서기,탄력밴드 전방으로 당기기,
탄력밴드 걸고 서기 평형성 운동 루틴 프로그램,탄력밴드 측면으로 당기기,
탄력밴드 당기면서 팔 들어올리기,탄력밴드 후방 측면으로 당기기,
탄력밴드 무릎으로 당기기,탄력밴드 후방으로 당기기,
탄력밴드 어깨 가쪽 돌림,턱걸이,
탄력밴드 이용 평형성운동 루틴 프로그램,테이블 이용하여 팔 들어 올리기,
탄력밴드 전방으로 당기기,테이블 이용하여 팔 옆으로 벌리기,
탄력밴드 측면으로 당기기,트레드밀에서 걷기,
탄력밴드 후방 측면으로 당기기,파워클린,
탄력밴드 후방으로 당기기,팔 교대로 올리기,
턱걸이,팔 구부려 등 모으기,
테이블 이용하여 팔 들어 올리기,팔 당기기,
테이블 이용하여 팔 옆으로 벌리기,팔 돌리며 점프하기,
트레드밀에서 걷기,팔 들어 올리며 런지,
파워클린,팔 벌려 뛰기,
팔 교대로 올리기,팔 빨리 흔들기,
팔 구부려 등 모으기,팔굽혀 펴기,
팔 당기기,팔굽혀펴기,
팔 돌리며 점프하기,팔굽혀펴기 후 점프하기,
팔 들어 올리며 런지,팔굽혀펴기(무릎대고 실시),
팔 벌려 뛰기,팔꿈치 고정 후 벌리기,
팔 빨리 흔들기,팔꿈치 굽히기,
팔굽혀 펴기,팔꿈치 맞닿아 원그리기,
팔굽혀펴기,팔꿈치 머리 뒤로 젖히기,
팔굽혀펴기 후 점프하기,팔꿈치 원 그리기,
팔굽혀펴기(무릎대고 실시),팔꿈치-무릎 교차 닿기,
팔꿈치 고정 후 벌리기,팔다리 교차 버티기,
팔꿈치 굽히기,팔로 써클링 누르기,
팔꿈치 맞닿아 원그리기,팔벌려뛰기,
팔꿈치 머리 뒤로 젖히기,폼롤러 밀며 몸 앞으로 숙이기,
팔꿈치 원 그리기,폼롤러 앞으로 굴리기,
팔꿈치-무릎 교차 닿기,폼롤러 이용 유연성운동 루틴 프로그램,
팔다리 교차 버티기,풍선 튕기기,
팔로 써클링 누르기,풍선차기,
팔벌려뛰기,플렉스 바 비틀기,
폼롤러 밀며 몸 앞으로 숙이기,하지 루틴 스트레칭1,
폼롤러 앞으로 굴리기,하지 루틴 스트레칭2,
폼롤러 이용 유연성운동 루틴 프로그램,하프콘 투호,
풍선 튕기기,한 발 끌어당기기,
풍선차기,한 발 뒤로 들어올리기,
플렉스 바 비틀기,한 발 뒤로 빼고 앞으로 굽히기,
하지 루틴 스트레칭1,한 발 들어올리기,
하지 루틴 스트레칭2,한 발 무릎위 올려차기,
하프콘 투호,한 발 앞굽이 팔 위로 뻗어 가슴 내밀기,
한 발 끌어당기기,한 칸 건너뛰며 걷기,
한 발 뒤로 들어올리기,한발 들기,
한 발 뒤로 빼고 앞으로 굽히기,한발 서서 균형잡기,
한 발 들어올리기,한발 앞뒤 교차 뛰기,
한 발 무릎위 올려차기,한발 앞으로 내밀고 앉았다 일어서기,
한 발 앞굽이 팔 위로 뻗어 가슴 내밀기,한발 연속 뛰기,
한 칸 건너뛰며 걷기,한발들어 좌우 돌리기,
한발 들기,한발로 점프하기,
한발 서서 균형잡기,한쪽 다리펴고 상체 숙이기,
한발 앞뒤 교차 뛰기,합장하여 앞으로 숙이기,
한발 앞으로 내밀고 앉았다 일어서기,허리 감아 볼 돌리기,
한발 연속 뛰기,허리 굽혀 덤벨 뒤로 들기,
한발들어 좌우 돌리기,허리 굽혀 덤벨 들기,
한발로 점프하기,허리 굽혀 팔 뒤로 들기,
한쪽 다리펴고 상체 숙이기,허리 비틀어 볼 주고받기,
합장하여 앞으로 숙이기,허리 비틀어 앉았다 일어서기,
허리 감아 볼 돌리기,허리 스트레칭,
허리 굽혀 덤벨 뒤로 들기,허리숙여 양팔 돌리기,
허리 굽혀 덤벨 들기,협응력 향상 프로그램_계이름 치기,
허리 굽혀 팔 뒤로 들기,활 자세,
허리 비틀어 볼 주고받기,회전 초승달 자세,
허리 비틀어 앉았다 일어서기,회전근개 스트레칭,
허리 스트레칭,회전근개 스트레칭2,
허리숙여 양팔 돌리기,훌라후프로 공 끌고 가기,
협응력 향상 프로그램_계이름 치기,훌라후프하며 앞으로 가기,
활 자세,휴식자세,
회전 초승달 자세,,
회전근개 스트레칭,,
회전근개 스트레칭2,,
훌라후프로 공 끌고 가기,,
훌라후프하며 앞으로 가기,,
휴식자세,,
